Menu Name,Category,Ingredient/Step,Amount
ขนมช่อม่วงไส้หมู,ส่วนผสมตัวแป้ง,แป้งข้าวเจ้า,180 กรัม
ขนมช่อม่วงไส้หมู,ส่วนผสมตัวแป้ง,แป้งท้าวยายม่อม,160 กรัม
ขนมช่อม่วงไส้หมู,ส่วนผสมตัวแป้ง,กะทิ,240 มิลลิลิตร
ขนมช่อม่วงไส้หมู,ส่วนผสมตัวแป้ง,น้ำสะอาด,240 มิลลิลิตร
ขนมช่อม่วงไส้หมู,ส่วนผสมตัวแป้ง,น้ำดอกอัญชัญ,1 ถ้วยตวง (น้ำเปล่า 1 ถ้วย + ดอกอัญชัญ 15-20 ดอก)
ขนมช่อม่วงไส้หมู,ส่วนผสมตัวแป้ง,น้ำมะนาว,1 ฝา
ขนมช่อม่วงไส้หมู,ส่วนผสมตัวแป้ง,น้ำมันพืช,2+1/2 ช้อนโต๊ะ
ขนมช่อม่วงไส้หมู,ส่วนผสมไส้หมู,หมูสับติดมัน,300 กรัม
ขนมช่อม่วงไส้หมู,ส่วนผสมไส้หมู,หัวไชโป๊วหวาน(สับละเอียด),1 ถ้วยตวง
ขนมช่อม่วงไส้หมู,ส่วนผสมไส้หมู,ถั่วลิสงคั่ว(โขลกหยาบ),½ ถ้วยตวง
ขนมช่อม่วงไส้หมู,ส่วนผสมไส้หมู,สามเกลอ(โขลกละเอียด),1 ช้อนโต๊ะ
ขนมช่อม่วงไส้หมู,ส่วนผสมไส้หมู,หอมแดง(สับละเอียด),½ ถ้วยตวง
ขนมช่อม่วงไส้หมู,ส่วนผสมไส้หมู,น้ำตาลปี๊บ,150 กรัม
ขนมช่อม่วงไส้หมู,ส่วนผสมไส้หมู,น้ำปลา,1 ช้อนโต๊ะ
ขนมช่อม่วงไส้หมู,ส่วนผสมไส้หมู,น้ำมันพืช,1 ช้อนโต๊ะ
ขนมช่อม่วงไส้หมู,วิธีทำ,"1. นำแป้งข้าวเจ้าและแป้งท้าวยายม่อมมาผสมให้เข้ากัน ในกระทะทองเหลือง ใส่น้ำสะอาดลงไปนวดประมาน 5 นาที",-
ขนมช่อม่วงไส้หมู,วิธีทำ,"2. ผสมน้ำอัญชันกับน้ำมะนาว(น้ำมะนาวจะไปทำปฏิกิริยากับน้ำอัญชันทำให้อัญชันเป็นสีม่วง) นำไปใส่ในแป้งตามด้วยกะทิ และน้ำมันพืช คนให้เข้ากัน",-
ขนมช่อม่วงไส้หมู,วิธีทำ,"3. นำไปตั้งไปกลาง กวนจนแป้งเกือบสุก (สังเกตจากแตะที่แป้งแล้วแป้งไม่ติดมือถือว่าใช้ได้) ปิดไฟพักให้เย็น",-
ขนมช่อม่วงไส้หมู,วิธีทำ,"4. ตั้งกระทะไฟกลางใส่น้ำมันจนร้อน ตามด้วยสามเกลอ และหอมแดงลงไปผัดให้หอม ใส่หมูสับผัดให้หมูสุก",-
ขนมช่อม่วงไส้หมู,วิธีทำ,"5. ใส่ไชโป๊วสับ น้ำตาลปี๊บ น้ำปลา ผัดจนน้ำตาลปี๊บละลาย ใส่ถั่วลิสงลงไปผัดให้เข้ากัน ปิดไฟ พักให้เย็น",-
ขนมช่อม่วงไส้หมู,วิธีทำ,"6. เมื่อทิ้งให้ตัวไส้เย็น นำมาปั้นเป็นก้อนกลม นำตัวแป้งมาห่อให้มิดตัวไส้ ใช้ที่หนีบจับเป็นกลีบดอกไม้ให้สวยงาม",-
ขนมช่อม่วงไส้หมู,วิธีทำ,"7. นำช่อม่วงไปนึ่งในน้ำเดือด(ไฟกลาง) นึ่งประมาน 5 นาที (ก่อนนึ่งฉีดน้ำพรมให้ทั่วขนมเพื่อไม่ให้แห้ง)",-
ขนมช่อม่วงไส้หมู,วิธีทำ,"8. เมื่อช่อม่วงสุกแล้วนำไปจัดเรียงใส่จาน โรยกระเทียมเจียว ทานคู่ผักกาดหอม ผักชีและพริกขี้หนูสวน",-
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,กระเทียมไทย (สามเกลอ),1 ช้อนโต๊ะ
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,รากผักชี (สามเกลอ),3 ราก
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,พริกไทยขาวเม็ด (สามเกลอ),1 ช้อนชา
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,หอมแดงสับ,50 กรัม
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,ไชโป้วหวานสับ,250 กรัม
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,หมูสับ,150 กรัม
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,น้ำตาลมะพร้าว,250 กรัม
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,ซีอิ๊วขาว,1 ช้อนโต๊ะ
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,ถั่วลิสงคั่วป่น,150 กรัม
ข้าวเกรียบปากหม้อ,ส่วนผสมไส้,น้ำมันกระเทียมเจียว,3 ช้อนโต๊ะ
ข้าวเกรียบปากหม้อ,ส่วนผสมตัวแป้ง (ต่อ 1 สี),แป้งข้าวเจ้า,55 กรัม / 1/2 ถ้วยตวง
ข้าวเกรียบปากหม้อ,ส่วนผสมตัวแป้ง (ต่อ 1 สี),แป้งมัน,2 ช้อนโต๊ะ
ข้าวเกรียบปากหม้อ,ส่วนผสมตัวแป้ง (ต่อ 1 สี),แป้งท้าว,1 ช้อนโต๊ะ
ข้าวเกรียบปากหม้อ,ส่วนผสมตัวแป้ง (ต่อ 1 สี),น้ำเปล่า/น้ำใบเตย/น้ำอัญชัญ,200 ml
ข้าวเกรียบปากหม้อ,ส่วนผสมกะทิราด,หัวกะทิ,150 กรัม
