ชื่อเมนู (Menu),ส่วนประกอบหลัก (Component),วัตถุดิบ (Ingredient),ปริมาณต่อ 1 เสิร์ฟ (Quantity per serving),หน่วย (Unit),หมายเหตุ (Notes)
Lunch Box (Set A),"ข้าวกะเพรา (Pad Kra Pao)","เนื้อหมู / ไก่สับ (Minced Meat)",1.5,"ขีด (150g)","น้ำหนักเนื้อดิบ"
Lunch Box (Set A),"ข้าวกะเพรา (Pad Kra Pao)","พริกกระเทียมตำ (Chili & Garlic)",0.15,"ขีด (15g)",""
Lunch Box (Set A),"ข้าวกะเพรา (Pad Kra Pao)","ใบกะเพรา (Holy Basil)",0.1,"ขีด (10g)",""
Lunch Box (Set A),"ข้าวกะเพรา (Pad Kra Pao)","ซอสปรุงรส (Oyster/Soy Sauce)",0.2,"ขีด (20g)",""
Lunch Box (Set A),"แกงแดง (Red Curry)","เนื้อหมู / ไก่ (Meat)",1.2,"ขีด (120g)",""
Lunch Box (Set A),"แกงแดง (Red Curry)","กะทิ (Coconut Milk)",1.8,"ขีด (180ml)",""
Lunch Box (Set A),"แกงแดง (Red Curry)","พริกแกงแดง (Red Curry Paste)",0.35,"ขีด (35g)","ความเผ็ดมาตรฐานร้านอาหาร"
Lunch Box (Set A),"แกงแดง (Red Curry)","มะเขือเปราะ (Thai Eggplant)",0.5,"ขีด (50g)",""
Lunch Box (Set A),"แกงแดง (Red Curry)","ใบมะกรูดและพริกชี้ฟ้า (Garnish)",0.05,"ขีด (5g)","ใช้โรยหน้า"
Lunch Box (Set A),"ส้มตำไทย (Som Tum Thai - Side)","มะละกอสับ (Papaya)",0.6,"ขีด (60g)","ปริมาณถ้วยเคียง (Side Portion)"
Lunch Box (Set A),"ส้มตำไทย (Som Tum Thai - Side)","ถั่วฝักยาวและมะเขือเทศ",0.2,"ขีด (20g)",""
Lunch Box (Set A),"ส้มตำไทย (Som Tum Thai - Side)","ถั่วลิสงและกุ้งแห้ง",0.1,"ขีด (10g)",""
Lunch Box (Set A),"ส้มตำไทย (Som Tum Thai - Side)","น้ำยำส้มตำ (Dressing)",0.2,"ขีด (20g)",""
Lunch Box (Set A),"เนื้อย่าง (Grilled Meat - Side)","คอหมูย่าง หรือ เสือร้องไห้",0.8,"ขีด (80g)","หั่น 4-5 ชิ้น สำหรับแนม"
Lunch Box (Set A),"ข้าว (Rice)","ข้าวหอมมะลิหุงสุก",2.0,"ขีด (200g)",""
เซตถาดไทยสไตล์ 1 (2 ท่าน),"เมนูหลัก (Mains)","ไก่ทอดหาดใหญ่ (ดิบ)",4.0,"ขีด (400g)","เนื้อสะโพกติดน่อง 2 ชิ้น"
เซตถาดไทยสไตล์ 1 (2 ท่าน),"เมนูหลัก (Mains)","คอหมูย่าง (ดิบ)",2.0,"ขีด (200g)","ย่างแล้วจะหดเหลือประมาณ 1.5 ขีด"
เซตถาดไทยสไตล์ 1 (2 ท่าน),"เมนูทานเล่น (Starters)","หมูสะเต๊ะ",1.2,"ขีด (120g)","4 ไม้ (เนื้อไม้ละ 30g)"
เซตถาดไทยสไตล์ 1 (2 ท่าน),"เมนูทานเล่น (Starters)","ส้มตำไทย (ขนาดถาด)",1.2,"ขีด (120g)","มะละกอ 1 ขีด + เครื่องอื่นๆ"
เซตถาดไทยสไตล์ 1 (2 ท่าน),"เมนูทานเล่น (Starters)","ยำหมูยออุบล",1.2,"ขีด (120g)","หมูยอ 0.8 ขีด + ผักยำ 0.4 ขีด"
เซตแกงพรีเมียม (Massaman Beef),"แกงมัสมั่นเนื้อ (6 ถ้วย)","เนื้อหัวไหล่โค (Beef Shoulder)",7.2,"ขีด (720g)","เฉลี่ยถ้วยละ 1.2 ขีด"
เซตแกงพรีเมียม (Massaman Beef),"แกงมัสมั่นเนื้อ (6 ถ้วย)","กะทิ (Coconut Milk)",12.0,"ขีด (1.2 ลิตร)","เฉลี่ยถ้วยละ 200ml"
เซตแกงพรีเมียม (Massaman Beef),"แกงมัสมั่นเนื้อ (6 ถ้วย)","พริกแกงมัสมั่น (Massaman Paste)",2.0,"ขีด (200g)","เฉลี่ยถ้วยละ 33g"
เซตแกงพรีเมียม (Massaman Beef),"แกงมัสมั่นเนื้อ (6 ถ้วย)","มันเทศ (Potatoes)",3.0,"ขีด (300g)","เฉลี่ยถ้วยละ 50g"
เซตแกงพรีเมียม (Massaman Beef),"แกงมัสมั่นเนื้อ (6 ถ้วย)","ถั่วลิสงคั่ว (Roasted Peanuts)",0.6,"ขีด (60g)","เฉลี่ยถ้วยละ 10g"
เซตแกงพรีเมียม (Massaman Beef),"ข้าวหอมมะลิ (6 ถ้วย)","ข้าวหอมมะลิหุงสุก",12.0,"ขีด (1.2kg)","ถ้วยละ 2.0 ขีด (200g)"
Special Box Set A (หมูกรอบ),"เมนูหลัก (Mains)","หมูกรอบ (ดิบ)",2.0,"ขีด (200g)","ทอดแล้วจะหดลงเหลือ ~1.3 ขีด"
Special Box Set A (หมูกรอบ),"เมนูทานเล่น (Starters)","ส้มตำไทย (ขนาดปกติ)",1.5,"ขีด (150g)","มะละกอ 1.0 + เครื่อง 0.5"
Special Box Set B (คอหมูย่าง),"เมนูหลัก (Mains)","คอหมูย่าง (ดิบ)",2.0,"ขีด (200g)","ย่างแล้วจะหดลงเหลือ ~1.5 ขีด"
Special Box Set C (เสือร้องไห้),"เมนูหลัก (Mains)","เนื้อเสือร้องไห้ (ดิบ)",2.0,"ขีด (200g)",""
